"Dataset","Verdict","GRADE","Score","IAI","Bias_P","Sens","Spec","LR_Pos","LR_Neg","Narrative"
"AuditC_data","ROBUST","Moderate",78.4,0.973,"N/A",0.872,0.711,2.88,0.16,"The test demonstrates moderate diagnostic accuracy. Moderate certainty evidence supports this finding."
"Cochrane_CD007394","ROBUST","Moderate",79.6,0.993,"N/A",0.596,0.872,4.69,0.46,"The test demonstrates moderate diagnostic accuracy. Moderate certainty evidence supports this finding."
"Cochrane_CD007427","CONDITIONAL","Low",59.9,0.998,"N/A",0.599,0.733,2.23,0.55,"The test demonstrates moderate diagnostic accuracy. Low certainty evidence supports this finding."
"Cochrane_CD008054","ROBUST","Moderate",79.9,0.998,"N/A",0.853,0.505,1.72,0.29,"The test demonstrates moderate diagnostic accuracy. Moderate certainty evidence supports this finding."
"Cochrane_CD008081","CONDITIONAL","Low",57.3,0.955,"N/A",0.808,0.827,4.64,0.22,"The test demonstrates moderate diagnostic accuracy. Low certainty evidence supports this finding."
"Cochrane_CD008686","CONDITIONAL","Low",59.2,0.988,"N/A",0.383,0.829,2.16,0.76,"The test demonstrates moderate diagnostic accuracy. Low certainty evidence supports this finding."
"Cochrane_CD008760","ROBUST","Moderate",79.6,0.993,"N/A",0.809,0.867,6.11,0.22,"The test demonstrates moderate diagnostic accuracy. Moderate certainty evidence supports this finding."
"Cochrane_CD008782","CONDITIONAL","Low",59.1,0.985,"N/A",0.783,0.635,2.06,0.35,"The test demonstrates moderate diagnostic accuracy. Low certainty evidence supports this finding."
"Cochrane_CD008803","CONDITIONAL","Low",65,1,"0",0.611,0.887,5.42,0.44,"The test demonstrates moderate diagnostic accuracy. Low certainty evidence supports this finding; limited by publication bias"
"Cochrane_CD008892","CONDITIONAL","Low",59.8,0.997,"N/A",0.711,0.826,4.09,0.35,"The test demonstrates moderate diagnostic accuracy. Low certainty evidence supports this finding."
"Cochrane_CD009020","IMMUTABLE TRUTH","High",98.8,0.981,"N/A",0.875,0.871,6.86,0.14,"The test demonstrates moderate diagnostic accuracy. High certainty evidence supports this finding."
"Cochrane_CD009135","ROBUST","Moderate",79.6,0.993,"N/A",0.825,0.924,10.71,0.19,"The test demonstrates excellent specificity but lower sensitivity. Moderate certainty evidence supports this finding."
"Cochrane_CD009185","CONDITIONAL","Low",59.5,0.992,"N/A",0.762,0.538,1.65,0.44,"The test demonstrates moderate diagnostic accuracy. Low certainty evidence supports this finding."
"Cochrane_CD009323","ROBUST","Moderate",67.9,0.798,"N/A",0.59,0.995,1002.7,0.41,"The test demonstrates excellent specificity but lower sensitivity. Moderate certainty evidence supports this finding; limited by information deficits"
"Cochrane_CD009372","ROBUST","Moderate",83.5,0.726,"N/A",0.952,0.979,62.74,0.05,"The test demonstrates excellent overall accuracy. Moderate certainty evidence supports this finding; limited by information deficits"
"Cochrane_CD009519","ROBUST","Moderate",79.5,0.991,"N/A",0.735,0.87,5.69,0.31,"The test demonstrates moderate diagnostic accuracy. Moderate certainty evidence supports this finding."
"Cochrane_CD009551","CONDITIONAL","Low",59.3,0.988,"N/A",0.679,0.804,3.4,0.41,"The test demonstrates moderate diagnostic accuracy. Low certainty evidence supports this finding."
"Cochrane_CD009579","CONDITIONAL","Low",59.9,0.998,"N/A",0.655,0.828,3.79,0.42,"The test demonstrates moderate diagnostic accuracy. Low certainty evidence supports this finding."
"Cochrane_CD009591","ROBUST","Moderate",79.8,0.997,"N/A",0.778,0.955,17.27,0.23,"The test demonstrates excellent specificity but lower sensitivity. Moderate certainty evidence supports this finding."
"Cochrane_CD009593","IMMUTABLE TRUTH","High",99.9,0.999,"N/A",0.875,0.985,58.59,0.13,"The test demonstrates excellent specificity but lower sensitivity. High certainty evidence supports this finding."
"Cochrane_CD009647","CONDITIONAL","Low",59.9,0.999,"N/A",0.308,0.51,0.63,1.36,"The test demonstrates moderate diagnostic accuracy. Low certainty evidence supports this finding."
"Cochrane_CD009786","CONDITIONAL","Low",50,0.5,"N/A",0.664,0.95,12.66,0.39,"The test demonstrates excellent specificity but lower sensitivity. Low certainty evidence supports this finding; limited by information deficits"
"Cochrane_CD009944","CONDITIONAL","Low",59.9,0.998,"N/A",0.841,0.775,3.73,0.2,"The test demonstrates moderate diagnostic accuracy. Low certainty evidence supports this finding."
"Cochrane_CD010023","ROBUST","Moderate",83.9,0.732,"N/A",0.871,0.894,8.86,0.13,"The test demonstrates moderate diagnostic accuracy. Moderate certainty evidence supports this finding; limited by information deficits"
"Cochrane_CD010079","FRAGILE","Very Low",44.6,0.993,"0.08",0.793,0.847,5.17,0.24,"The test demonstrates moderate diagnostic accuracy. Very low certainty evidence supports this finding; limited by publication bias"
"Cochrane_CD010173","IMMUTABLE TRUTH","High",98.2,0.969,"0.354",0.876,0.978,50.79,0.11,"The test demonstrates excellent specificity but lower sensitivity. High certainty evidence supports this finding."
"Cochrane_CD010276","ROBUST","Moderate",79.5,0.991,"N/A",0.857,0.703,2.84,0.2,"The test demonstrates moderate diagnostic accuracy. Moderate certainty evidence supports this finding."
"Cochrane_CD010339","IMMUTABLE TRUTH","High",85.1,0.752,"N/A",0.853,0.976,46.72,0.13,"The test demonstrates excellent specificity but lower sensitivity. High certainty evidence supports this finding; limited by information deficits"
"Cochrane_CD010360","IMMUTABLE TRUTH","High",99.8,0.997,"N/A",0.922,0.948,17.57,0.08,"The test demonstrates excellent overall accuracy. High certainty evidence supports this finding."
"Cochrane_CD010386","CONDITIONAL","Low",50.8,0.514,"N/A",0.91,0.589,2.23,0.16,"The test demonstrates excellent sensitivity but lower specificity. Low certainty evidence supports this finding; limited by information deficits"
"Cochrane_CD010409","IMMUTABLE TRUTH","High",99.8,0.997,"N/A",0.921,0.999,10391.99,0.08,"The test demonstrates excellent overall accuracy. High certainty evidence supports this finding."
"Cochrane_CD010438","CONDITIONAL","Low",57.4,0.623,"N/A",0.932,0.836,5.39,0.09,"The test demonstrates excellent sensitivity but lower specificity. Low certainty evidence supports this finding; limited by information deficits"
"Cochrane_CD010502","ROBUST","Moderate",79.9,0.999,"N/A",0.849,0.963,22.99,0.16,"The test demonstrates excellent specificity but lower sensitivity. Moderate certainty evidence supports this finding."
"Cochrane_CD010542","ROBUST","Moderate",74.7,0.911,"N/A",0.891,0.769,3.83,0.14,"The test demonstrates moderate diagnostic accuracy. Moderate certainty evidence supports this finding."
"Cochrane_CD010632","FRAGILE","Very Low",41,0.683,"N/A",0.728,0.715,2.52,0.38,"The test demonstrates moderate diagnostic accuracy. Very low certainty evidence supports this finding; limited by information deficits"
"Cochrane_CD010633","CONDITIONAL","Low",61.3,0.355,"N/A",0.93,0.858,6.69,0.09,"The test demonstrates excellent sensitivity but lower specificity. Low certainty evidence supports this finding; limited by information deficits"
"Cochrane_CD010653","CONDITIONAL","Low",59.5,0.991,"0.603",0.556,0.782,2.51,0.57,"The test demonstrates moderate diagnostic accuracy. Low certainty evidence supports this finding."
"Cochrane_CD010657","CONDITIONAL","Low",59.7,0.995,"N/A",0.63,0.626,1.65,0.6,"The test demonstrates moderate diagnostic accuracy. Low certainty evidence supports this finding."
"Cochrane_CD010705","ROBUST","Moderate",79.9,0.999,"N/A",0.803,0.98,40.46,0.2,"The test demonstrates excellent specificity but lower sensitivity. Moderate certainty evidence supports this finding."
"Cochrane_CD010771","IMMUTABLE TRUTH","High",96.6,0.943,"N/A",0.914,0.876,7.86,0.11,"The test demonstrates excellent sensitivity but lower specificity. High certainty evidence supports this finding."
"Cochrane_CD010772","ROBUST","Moderate",79.7,0.995,"N/A",0.891,0.7,2.94,0.15,"The test demonstrates moderate diagnostic accuracy. Moderate certainty evidence supports this finding."
"Cochrane_CD010775","ROBUST","Moderate",77,0.95,"N/A",0.965,0.533,2.06,0.06,"The test demonstrates excellent sensitivity but lower specificity. Moderate certainty evidence supports this finding."
"Cochrane_CD010783","CONDITIONAL","Low",58.3,0.971,"0.69",0.53,0.792,2.43,0.6,"The test demonstrates moderate diagnostic accuracy. Low certainty evidence supports this finding."
"Cochrane_CD010860","IMMUTABLE TRUTH","High",94,0.9,"N/A",0.941,0.872,8.27,0.07,"The test demonstrates excellent sensitivity but lower specificity. High certainty evidence supports this finding."
"Cochrane_CD010896","ROBUST","Moderate",69.4,0.823,"N/A",0.663,0.889,6.16,0.39,"The test demonstrates moderate diagnostic accuracy. Moderate certainty evidence supports this finding."
